product_id,ip,url,product_name
98369,31.13.127.21,https://www.glamira.sk/glamira-ring-loredana.html?fbclid=IwAR3tYuppwkSiVuNwb3hRL9GM6WZ10iJuz7rpi7w0WqHLMnPr_BGSof2hmfk,Glamira Ring Loredana
102484,213.144.232.68,https://www.glamira.nl/glamira-bracelet-tanel.html?alloy=white_red-375&diamond=diamond-Brillant&gclid=CjwKCAjwt-L2BRA_EiwAacX32WKvi0iyBMyLY7qA1q9mlT_rI-9UAgHFMk1mXk2sRahl7S6uulicHBoCtREQAvD_BwE,Glamira Bracelet Tanel
101312,173.252.95.27,https://www.glamira.it/glamira-ring-aljerino.html?fbclid=IwAR0ez7N7utMV2rpIIdlwdsxRWqNEayoCwGTy7IAnKR3kiw-zPf5GJC6CsoQ,Glamira Ring Aljerino
84879,69.171.251.5,https://www.glamira.hu/glamira-gyemant-gyuru-amalia-skug100150.html?fbclid=IwAR1JGagt1A5q4UNNpfYDh1oMuLskDwvzaAaix4FacU72W4uYQijXbpoL0jU,Glamira Gyemant Gyuru Amalia Skug100150
110387,81.132.163.249,https://www.glamira.co.uk/glamira-pendant-balfour.html?alloy=yellow-585&diamond=diamond-Swarovsky&stone2=diamond-sapphire,Glamira Pendant Balfour
89602,92.9.49.201,https://www.glamira.co.uk/glamira-ring-no-rush.html?alloy=white-silber&diamond=emerald&gclid=CjwKCAjw8df2BRA3EiwAvfZWaI9p-3QNZU8JUOeFF_XKnuE3yTp5V3SUCrAuAu1vo7BFZOc_dBXiQRoC3v8QAvD_BwE,Glamira Ring No Rush
84776,121.7.100.245,https://www.glamira.sg/glamira-ring-jessica-skug100680.html?diamond=diamond-sapphire&alloy=red_white-585,Glamira Ring Jessica Skug100680
106239,176.88.47.170,https://www.glamira.md/strong-love-5-mm.html?alloy=red-375&stone=diamond-Zirconia,Strong Love 5 Mm
98787,31.13.115.7,https://www.glamira.co.uk/men-s-ring-pure-love-6-mm.html?fbclid=IwAR3sOrB7hxvS29UIAPm8hDeIBy9T7laPE-_LBCnLWQ6_Kf6xshCok8StGVY&alloy=white_yellow-585,Men S Ring Pure Love 6 Mm
104172,31.13.115.6,https://www.glamira.com.tr/glamira-ring-gerlindis.html?diamond=fire-opal&alloy=white-palladium&fbclid=IwAR04iNk2oujxWf-KG83AlXewwgTNCVGZVvNttvkixx5NUwxzpvHKM6TtVDA,Glamira Ring Gerlindis
90419,217.163.64.14,https://www.glamira.co.uk/glamira-pendant-despina.html?alloy=yellow_white-585&diamond=diamond-Brillant,Glamira Pendant Despina
109652,77.16.76.55,https://www.glamira.no/glamira-pendant-harvey.html?alloy=white-silber&diamond=green-amethyst&stone2=diamond-Swarovsky&stone3=diamond-Swarovsky,Glamira Pendant Harvey
102106,185.157.29.10,https://www.glamira.de/glamira-bracelet-ezira.html?diamond=diamond-sapphire&alloy=white-375,Glamira Bracelet Ezira
101332,173.252.95.28,https://www.glamira.de/glamira-ring-fernando.html?fbclid=IwAR14gLxThR0sKmORd4kcJ2iLsAOy9AH5-0w1WRMlDQju4zx95NTqvtjuWPU,Glamira Ring Fernando
93240,91.255.212.5,https://www.glamira.it/classic-glow-2mm.html?alloy=red-375&stone=diamond-Brillant,Classic Glow 2Mm
96049,77.119.131.0,https://www.glamira.at/damenring-alluring-spring-4-mm.html?alloy=white-585&stone=diamond-Brillant,Damenring Alluring Spring 4 Mm
89592,31.13.115.120,https://www.glamira.fr/glamira-bagues-cool-breeze.html?alloy=white-750&diamond=ruby&synthetic=labruby&fbclid=IwAR2-2xQqZ_VzY0FtyMWW7Z0F-YPspIVOL0TP-X5zMJt_y6O322hxTIooM-U,Glamira Bagues Cool Breeze
89607,173.252.95.3,https://www.glamira.it/glamira-anelli-ramses.html?fbclid=IwAR0rT4QJYKx9YILiQrPtTf1zvow8bicDyi4e1eG0fgRXJiZX5H1T0qiGdIc,Glamira Anelli Ramses
90475,173.252.95.118,https://www.glamira.co.uk/men-s-ring-celtic-way.html?campaignid=1492025010&fbclid=IwAR1CnCWovanKL2_bdCoS7yOQ12Kc7eVjB_y4toSm3-hp2Xi4jjTHwuYERus&alloy=white_yellow-585,Men S Ring Celtic Way
89454,124.189.45.215,https://www.glamira.com.au/glamira-ring-pamela.html?alloy=white-585&diamond=diamond-Brillant,Glamira Ring Pamela
110560,78.180.53.128,https://www.glamira.co.uk/glamira-ring-bona-1.0-crt.html?alloy=yellow-750&diamond=kunzite,Glamira Ring Bona 1.0 Crt
